titles,word,n,n_words
Письмо к ученому соседу,не,32,1327
"За двумя зайцами погонишься, ни одного не поймаешь",не,42,1311
Папаша,не,70,1686
"Тысяча одна страсть, или Страшная ночь",не,8,954
Перед свадьбой,не,60,1459
Жены артистов,не,91,3686
Петров день,не,87,3312
Темпераменты,не,29,1041
В вагоне,не,33,1442
Грешник из Толедо,не,37,1683
"Исповедь, или Оля, Женя, Зоя",не,42,1942
Летающие острова,не,29,1778
Сказки Мельпомены,не,65,2404
Два скандала,не,68,3130
Барон,не,58,1965
Месть,не,42,1764
Трагик,не,24,1050
Темною ночью,не,6,298
На гвозде,не,5,425
Размазня,не,13,481
Патриот своего отечества,не,4,428
Случай из судебной практики,не,9,660
Загадочная натура,не,9,595
Верба,не,17,1091
Вор,не,21,1040
Раз в год,не,23,1002
Герой-барыня,не,15,1075
Смерть чиновника,не,27,691
Он понял!,не,63,2837
Добродетельный кабатчик,не,8,473
Дочь Альбиона,не,21,1046
Краткая анатомия человека,не,9,467
Шведская спичка,не,131,5365
Отставной раб,не,8,555
Осенью,не,26,1638
Толстый и тонкий,не,2,526
Клевета,не,20,1082
В рождественскую ночь,не,34,1753
Орден,не,13,848
Комик,не,10,507
Репетитор,не,14,759
Певчие,не,22,1298
Трифон,не,29,1062
Дачница,не,13,711
Русский уголь,не,17,1230
Брожение умов,не,27,973
Экзамен на чин,не,20,913
Хирургия,не,30,960
Хамелеон,не,23,909
Надлежащие меры,не,9,936
Винт,не,15,999
Брак по расчету,не,22,1140
Господа обыватели,не,18,913
Устрицы,не,20,1135
Капитанский мундир,не,23,1584
У предводительши,не,16,1069
Живая хронология,не,9,713
Разговор человека с собакой,не,13,549
Оба лучше,не,34,1303
Мелюзга,не,13,929
Упразднили!,не,56,1528
Канитель,не,10,611
Последняя могиканша,не,35,1276
Симулянты,не,18,993
Налим,не,30,1301
В аптеке,не,16,1098
Не судьба!,не,41,1141
Мыслитель,не,7,932
Заблудшие,не,27,1096
Егерь,не,31,1262
Злоумышленник,не,33,1075
Конь и трепетная лань,не,28,1260
Свистуны,не,13,1025
Отец семейства,не,33,1109
Мертвое тело,не,34,1215
Кухарка женится,не,42,1412
Стена,не,24,682
Два газетчика,не,16,854
На чужбине,не,31,1094
Циник,не,26,1125
Сонная одурь,не,17,1131
Тапер,не,38,1471
Пересолил,не,32,1128
Старость,не,33,1422
Горе,не,41,1575
"Ну, публика!",не,26,935
